,Meal Index,Age,Sex,Breakfast,Lunch/Snacks,One Dish Meal,Calories,CarbohydrateContent,FatContent,ProteinContent,FiberContent,Heuristic,90%? (Heuristic),Count
0,"[32181, 27065, 17797]",53,F,Valkmiki's Eggless Aka Tofu Scramble,No I'm Not Pregnant!! Sandwich,Anne's Famous Irish Corned Beef,2273.583333,253.6833333,117.6333333,63.98333333,25.03333333,4.488396275,FALSE,76
1,"[3056, 68946, 72406]",78,F,Sunny Orange Pancakes,Choc Chip Flapjacks,Italian Coated Chicken With Chicken Creole Rice,2425.233333,323.3,109.1666667,60.81666667,25.06666667,4.374085586,FALSE,
2,"[32215, 27065, 52996]",39,F,B's Breakfast Bagel,No I'm Not Pregnant!! Sandwich,Fish in the Sea,2578.9,320.25,123.55,61.1,25.95,4.459833179,FALSE,
3,"[66419, 27065, 63100]",52,F,Lemon Berry Oatmeal,No I'm Not Pregnant!! Sandwich,Scallops With Soba Noodles and Dashi Broth,2412.45,295.425,114.4,61.475,25.475,4.578492417,TRUE,
4,"[3448, 44254, 69969]",51,M,Smoked Salmon Scramble,Peanut Butter and Marshmallow Creme Sandwich,Tropical Fruit Salsa Wraps (Raw Vegan),2539,302.05,127.5,76,24.7,4.683061347,TRUE,
5,"[74574, 76897, 19572]",55,M,Shakshuka Yemani Basted Eggs,Primanti Brothers Capp and Cheese Stuffed Sandwich,Italian Poutine,2745.325,379.425,100.775,76.2,25.075,4.5483814,TRUE,
6,"[34000, 47203, 52996]",11,M,Pastry Turnovers,Chicken Nachos,Fish in the Sea,2080.2,267.3,100.45,42.9,17.85,4.821568213,TRUE,
7,"[64064, 8216, 46563]",3,F,Clean Eggs Benedict,Solo Green Beans and Chicken With Pasta,Lemony Ham Slice,990.875,126.6,46.9,22.15,10.425,4.591700723,TRUE,
8,"[25266, 27065, 59544]",10,F,Any-Berry Butter,No I'm Not Pregnant!! Sandwich,Cinnamon Rice Low Cal,2212.783333,260.45,113.7333333,46.11666667,21.71666667,4.33080908,FALSE,
9,"[60452, 27065, 46563]",12,M,Easy Brunch Quiche,No I'm Not Pregnant!! Sandwich,Lemony Ham Slice,2219.3,269.9125,111.05,46.1125,21.8125,4.345214846,FALSE,
10,"[79043, 68946, 41878]",31,F,Vegetable Garden Omelet,Choc Chip Flapjacks,"Cioppino, Calabrese",2432.4375,320.8,111.2,61.125,25.8125,4.641748815,TRUE,
