,Meal Index,Age,Sex,Breakfast,Lunch/Snacks,One Dish Meal,Calories,CarbohydrateContent,FatContent,ProteinContent,FiberContent,Heuristic
0,"[49575, 68946, 82352]",44,M,Dairy Free Breakfast Burrito,Choc Chip Flapjacks,Center Cut Pork Loin Chops With Caramelized Onions,2787.225,364.65,127.125,69.575,30.525,4.588559154310015
1,"[17585, 85002, 61388]",36,M,Sausage and Rice Pancakes With Country Gravy,Portobello Patty Melt,Nutty Zesty Baby Potatoes,2157.95,360.275,45.65,82.69999999999999,24.424999999999997,4.036921782188827
2,"[11909, 7636, 15230]",39,F,Creamy Swiss Eggs on Biscuits,Turkey Stuffing (Dried fruit and nut),Scrambled Bread,1900.0749999999998,203.07500000000002,108.425,57.15,28.574999999999996,4.361439364854064
3,"[19858, 28403, 15987]",41,F,Creamy Rice Eggs,New Zealand Pasties,Pasta and White Beans in Light Tomato Sauce,2558.9833333333336,275.3833333333333,132.56666666666666,65.58333333333333,20.566666666666666,4.068027473427214
4,"[63446, 76573, 48325]",79,M,Pumpkin Pear Waffles,Taco Rice(Tshimo),Bird's Ultimate Taco Salad,2224.1833333333334,368.4333333333334,49.15,69.18333333333334,15.3,3.8340744235504327
5,"[4413, 5282, 47000]",53,F,Potato Pancake,Sue's Reuben Sandwich,Garlic and Parmesan Shrimp Farfalle,1604.175,97.57499999999999,107.625,61.974999999999994,8.8,3.473409818086995
6,"[70314, 84148, 35672]",41,F,Apple Cake,Grilled Bologna Sandwich,Penne With Mushrooms and Red Pepper for One,2040.5666666666666,204.74166666666667,111.975,51.958333333333336,20.34166666666667,4.196112650877641
7,"[20920, 22955, 74409]",65,M,Easy Breakfast Casserole II,My Version of Bertucci's Sporky Pizza,Pasta Broccoli,1790.4666666666667,201.88333333333333,78.98333333333335,73.56666666666666,22.700000000000003,3.872683028017927
8,"[47949, 47203, 31872]",47,M,Chocolate Peanut Butter Banana Stuffed French Toast,Chicken Nachos,Baked Chicken Parmesan,2834.5750000000003,349.84999999999997,136.67499999999998,69.875,25.550000000000004,4.6711724896362
9,"[80410, 38601, 83261]",9,M,Grilled Cheese Sandwich,"C,h,p,b&amp;b Sandwich",Poor Boy Pasta W/ New Mexico Pinon Nuts,1279.075,154.95000000000002,58.2,45.5,15.05,3.9283867528359515
10,"[22567, 59264, 19572]",36,M,Healthier Hash Browns  (Cauliflower &amp; Parsnips),Wagyu Steak Sandwich,Italian Poutine,3168.05,433.90000000000003,117.07499999999999,90.39999999999999,27.025000000000002,4.075416671824759
11,"[1002, 35191, 59107]",78,F,Do Ahead Swiss Cheese Souffles,Pat's Southern-Fried Panfish,Hot and Spicy Beans and Corn,1843.62,121.65,124.09,65.55,17.59,3.7190346938124987
12,"[16338, 47203, 47167]",23,M,Smoked Gouda Cheese Grits,Chicken Nachos,Chicken Noodles,2384.025,311.4,103.225,64.075,23.325000000000003,4.4281149117982865
13,"[40433, 47203, 80877]",66,M,Spiced Pumpkin Pancakes,Chicken Nachos,Chopped Asian Chicken Salad W/Honey-Sesame Crackers,2247.0499999999997,267.05,108.2,65.525,25.450000000000003,4.423889196585052
14,"[52947, 45680, 34745]",44,F,Old Country Quiche,Marshall Field's Special (Turkey)  Sandwich,Apricot Glaze Chicken Pocket,2700.15,207.55,190.83333333333331,65.68333333333334,25.833333333333332,3.4040237530049633
15,"[6849, 49973, 46533]",67,F,Poached Eggs in Catsup,"Spaghetti With Bacon, Garlic and Pine Nuts As I Like It!",Ethiopian Alecha Wats,1933.475,205.425,88.2,87.15,23.075,3.741904528150671
16,"[31926, 38194, 82935]",7,F,Ham &amp; Eggs Pizza,Smoked Vegetable Sandwiches,"Sausage, Potatoes and Green Chilis",1272.7,178.25,46.275,39.5375,14.1125,4.204269010929387
17,"[69045, 11010, 25636]",23,M,September Porridge - a Finnish Recipe for Syyspuuro,Coat's ultimate sub,"Penne Porcini -- With Tomato, Prosciutto &amp; Porcini Mushrooms",2698.516666666667,249.93333333333334,142.81666666666666,103.08333333333334,26.21666666666667,3.9944189191929813
18,"[80944, 68946, 78960]",10,F,Pumpkin Pie Breakfast in  Jelly Jar,Choc Chip Flapjacks,Steamed Cantonese-Style Fish,2337.43,318.81000000000006,108.65,46.335,26.625,4.04925851210679
19,"[47997, 2881, 67413]",48,F,The Best Sausage Gravy,Solo Fiesta Ham and Cheese Pasta,Japanese Curry Rice,1943.0,239.2,83.52499999999999,61.0,20.799999999999997,4.2654496060154266
20,"[36919, 24192, 43467]",45,M,Banana Flax Breakfast Muffins,The Grouper Club Sandwich,Okonomiyaki,1857.2166666666667,124.49166666666667,126.18333333333334,71.80833333333334,24.7,4.067243009146683
21,"[52325, 59732, 82565]",77,F,Peanut Butter and Jelly French Toast,Cream Cheese and Apple Bagel  Bites,A Bowlful of Dinner,1983.75,271.825,79.95,58.275,28.2,4.081786308537185
22,"[61277, 59732, 1459]",51,F,Big  Belly Busting Breakfast Burritos!,Cream Cheese and Apple Bagel  Bites,Quick pasta for one,2196.2,263.45,109.1,54.7,28.15,4.374094406562829
23,"[41964, 59162, 17366]",67,F,Cooking Light's Cheddar Grits,"Best of the Best Tomato, Basil, and Fresh Ricotta Sandwich With",One Pot Spicy Sausage and Lentils,1870.025,320.09999999999997,34.650000000000006,63.625,23.275,4.0467584902825084
24,"[3478, 6821, 53705]",5,M,Curach (Irish Honey-And-Oatmeal Cream),Peanut Butter Playdough,Vegetable Moussaka,1232.8500000000001,176.55,51.775,29.950000000000003,9.45,4.134191412606307
25,"[40889, 4589, 11771]",65,M,Avocado &amp; Beetroot on Rye,Solo Italian Sausage and Pasta Medley,Hash and Leftover Gravy,2059.9500000000003,247.2,90.05000000000001,69.0,23.25,4.237858768046411
26,"[10768, 22682, 15812]",40,F,Charishma's Chocolate Oatmeal,The Big Bird,Stuffed Eggplant With Cheese and Tomatoes,2264.6499999999996,328.45,60.8,106.30000000000001,20.95,3.435267177175601
27,"[66992, 73966, 42597]",44,M,Whole Wheat French Toast (Vegan),Thermos Noodle Soup,Carrot 'spaghetti' (Vegan),2852.8749999999995,500.05000000000007,54.225,84.95,26.1,3.6491309208278992
28,"[53291, 15117, 10072]",77,F,Biscuit Breakfast Sandwiches,Pizza Dough,Japanese Eggplant (Aubergine) Saute,2087.6000000000004,403.59166666666664,22.991666666666664,59.208333333333336,21.008333333333333,3.3916145049725865
29,"[59119, 43764, 37011]",62,F,Stamford Omelet,"Appalachian Tapas, (Midnight Snack!)",Artichokes and Potatoes (Greek),1913.125,153.175,109.675,88.97500000000001,19.15,3.597582786515728
30,"[79380, 81362, 74775]",78,F,Three-Cup Breakfast,"Grilled Apple, Bacon and Cheddar Sandwiches",Country Ribs With Sauerkraut,2283.5499999999997,197.7,143.0,63.05,17.2,3.5254292817981456
31,"[72381, 20674, 82849]",79,F,Supreme Bacon Sandwich,Grown Ups Toast,Sriracha Skillet,2083.325,145.8,126.175,98.32500000000002,23.95,3.3455369927232654
32,"[19303, 73009, 83070]",18,M,Low Fat Oatmeal Waffles,Grilled Chicken Sandwiches With Roasted Pepper Aioli,Asian Chicken and Beef Stirfry for Two,2864.6,432.275,82.94999999999999,98.325,17.325,3.819742184489589
33,"[47666, 73560, 30676]",56,M,Cass's Gingerbread Waffles,Grilled Cheddar &amp; Tomato Jam Sandwich,Easy One Dish Dinner,2097.025,372.6833333333333,36.61666666666666,77.91666666666666,21.28333333333333,3.896540524336762
