,Meal Index,Age,Sex,Breakfast,Lunch/Snacks,One Dish Meal,Calories,CarbohydrateContent,FatContent,ProteinContent,FiberContent,Heuristic,90%? (Heuristic),COUNT
0,"[49575, 68946, 82352]",44,M,Dairy Free Breakfast Burrito,Choc Chip Flapjacks,Center Cut Pork Loin Chops With Caramelized Onions,2787.225,364.65,127.125,69.575,30.525,4.588559154,TRUE,10
1,"[17585, 3539, 14990]",36,M,Sausage and Rice Pancakes With Country Gravy,Meal in a Bowl - Noodle Soup - for 1 Double for 2 (Vegetarian),Beef Pasta,2524.55,323.425,105.075,72.475,24.325,4.606411825,TRUE,
2,"[11909, 7636, 15230]",39,F,Creamy Swiss Eggs on Biscuits,Turkey Stuffing (Dried fruit and nut),Scrambled Bread,1900.075,203.075,108.425,57.15,28.575,4.361439365,FALSE,
3,"[19858, 28403, 15987]",41,F,Creamy Rice Eggs,New Zealand Pasties,Pasta and White Beans in Light Tomato Sauce,2558.983333,275.3833333,132.5666667,65.58333333,20.56666667,4.068027473,FALSE,
4,"[63446, 76573, 48325]",79,M,Pumpkin Pear Waffles,Taco Rice(Tshimo),Bird's Ultimate Taco Salad,2224.183333,368.4333333,49.15,69.18333333,15.3,3.834074424,FALSE,
5,"[4413, 20291, 73154]",53,F,Potato Pancake,Chickpea and Onion Sandwich,Creamy Surimi Bachelor Chow,1860.075,181.325,98.875,68.025,17.35,4.037448712,FALSE,
6,"[70314, 84148, 35672]",41,F,Apple Cake,Grilled Bologna Sandwich,Penne With Mushrooms and Red Pepper for One,2040.566667,204.7416667,111.975,51.95833333,20.34166667,4.196112651,FALSE,
7,"[20920, 8216, 7377]",65,M,Easy Breakfast Casserole II,Solo Green Beans and Chicken With Pasta,Salmon Penne,2112.066667,207.0833333,113.6833333,73.26666667,25,4.404374645,FALSE,
8,"[47949, 47203, 31872]",47,M,Chocolate Peanut Butter Banana Stuffed French Toast,Chicken Nachos,Baked Chicken Parmesan,2834.575,349.85,136.675,69.875,25.55,4.67117249,TRUE,
9,"[80410, 21252, 34430]",9,M,Grilled Cheese Sandwich,Bologna Burger,Super Quick Black Beans and Rice,1328.7,168.4,54.1,43.15,12.75,4.029806345,FALSE,
